序号,公司,岗位,城市,薪资,岗位真实性,简历匹配度,简历通过率,现金流价值,长期路线价值,投递建议,风险标签,证据,简历关键词建议,job_url
49,AstroX,# 招聘 AstroX #CEX 简介： https://www.astroxpro.com/ AstroX 是一家由用户视角出发、强调结构创新与差异化的加密货币交易平台，当前处于冷启动阶段,全球远程,$3500 - $5500 / month,52,34,30,41,54,不建议投,疑似招聘中介、年限要求过高、不建议投递,# 招聘 🏡 AstroX #CEX 🐇 简介： https://www.astroxpro.com/ AstroX 是一家由用户视角出发、强调结构创新与差异化的加密货币交易平台，当前处于冷启动阶段。 🛵 合作方式： #,不建议为该岗位大改简历；若投递只保留远程协作、英语、基础数据处理,https://remotejobscn.com/jobs/90e7652a-b8eb-4a61-8a9e-3b296462cea1
50,Eleduck Hiring,财务岗,全球远程,未明确,62,10,36,8,0,删除,JD 过于空泛、技术栈不匹配、不建议投递,经验； · 具备良好的英语沟通能力； · 有海外KOL行业经验者优先； · 能适应跨时区远程协作。 • 全盘账务处理 • 资金收付管理 • 审计年审 • 财务数据处理 • 1～3 年外企财务工作经验 • 具备良好的英语沟通能力 ,不建议为该岗位大改简历；若投递只保留远程协作、英语、基础数据处理,https://remotejobscn.com/jobs/ea7b28da-ae02-4ea5-9820-42665c4a465c
51,Bossjob - Web3 Jobs TG,现货运营负责人,全球远程,未明确,42,52,34,32,52,不建议投,疑似招聘中介、JD 过于空泛、年限要求过高、不建议投递,"活动玩法、风控 熟悉后台及币种运营，Excel/SQL分析数据 结果导向，强执行力、沟通力、抗… 独立负责业务线,懂现货逻辑、活动玩法、风控,熟悉后台及币种运营 本科+,3 年加密现货运营经验,有量化成功案例,熟悉 Excel/",突出 Foxconn/创业：日志分析、数据清洗、SQL、报表/看板、异常分析,https://remotejobscn.com/jobs/ed0c5af4-0b4b-4fea-a640-b2ed21a551db
52,Rebase Who Is Hiring,Java 后端开发 - 现货交易方向,全球远程,"最高 7,000 USDT（可根据能力再议）",92,52,44,48,58,低优先级投,年限要求过高,"需求高质量上线,参与线上问题排查、故障定位与系统稳定性优化 5 年以上 Java 后端开发经验，具备扎实的编码能力和系统设计能力,熟练使用 Spring Boot / Spring Cloud 等主流 Java 技术栈,熟悉 M",突出华为：Linux 后端、高可用、自愈系统、日志排查、CI/CD、线上问题定位；突出 Foxconn/创业：日志分析、数据清洗、SQL、报表/看板、异常分析,https://remotejobscn.com/jobs/566e56e7-3367-407b-a82e-780e87c869ee
53,ApeX Protocol,# 招聘 ApeX Protocol #DEX 简介： https://www.apex.exchange/ A leading decentralized exchange (DEX) platform dedicated to,全球远程,$4000 - $8000 / month,72,44,55,39,52,低优先级投,疑似招聘中介,"调落实风险控制需求，推动风控策略从需求分析、开发测试到上线验收的全生命周期管理。 本科及以上学历，金融、数学、统计学、计算机等相关专业。,具备 2 年以上 Crypto 衍生品或风控/产品设计经验。,具备出色的沟通协调能力，逻辑",不建议为该岗位大改简历；若投递只保留远程协作、英语、基础数据处理,https://remotejobscn.com/jobs/3943e89a-dc0c-4852-9233-8974cb9f78b6
54,Bossjob - Web3 Jobs TG,#Recruitment Position : 运维负责人 Salary : open Location : 远程/迪拜 Requirements : 1.互联网大厂+金融背景； 2.有网络基础设施和数据,全球远程,未明确,42,34,26,6,54,不建议投,疑似招聘中介、JD 过于空泛、年限要求过高、不建议投递,🔥 #Recruitment 🔥 📌 Position : 运维负责人 💰 Salary : open 🏝 Location : 远程/迪拜 💼 Requirements : 1.互联网大厂+金融背景； 2.有网络基础设,不建议为该岗位大改简历；若投递只保留远程协作、英语、基础数据处理,https://remotejobscn.com/jobs/a2450c5f-5f05-4642-8e81-c7bad224d22c
55,Bitunix Exchange,风控运营 / 安全 / 运营,全球远程,$1500 - $2500 / month,72,70,62,72,62,可以投,疑似招聘中介、值得投递、可作为现金流岗位,"力下工作。,可熟练使用数据分析工具（如 SQL，Python 等），链上分析工具。,倒班补贴，需按具体情况上夜班，介意请勿投递。 请自行确认岗位真实性、薪资和中国候选人接受度",突出创业 CTO/GitHub：Python、FastAPI、API 服务、AI workflow、数据处理、系统架构；突出 Foxconn/创业：日志分析、数据清洗、SQL、报表/看板、异常分析,https://remotejobscn.com/jobs/6e83bbc2-d473-45ee-b6b1-9ac8e80e580b
56,DeJob TG,Web3 BD/市场经理,全球远程,$2000 - $3000 / month,52,0,14,8,0,删除,疑似招聘中介、技术栈不匹配、年限要求过高、不建议投递, #远程 / #实地 #迪拜 📚 待招岗位： #BD #市场 💰 薪酬福利：$2000 - … • 负责契约 BD、BD 负责人或 BD 经理工作； • 拥有丰富的渠道资源和 KOL 合作经验； • 具备深度开拓特定国家合约市场,不建议为该岗位大改简历；若投递只保留远程协作、英语、基础数据处理,https://remotejobscn.com/jobs/416343b6-b230-432a-9b9e-d171b579ba7f
57,OneBullEx,量化工程师,全球远程,$2000 - $7000 / month,52,60,40,42,70,低优先级投,疑似招聘中介、年限要求过高,"ema 设计。 5 年以上后端或量化经验，精通 Python，熟悉 Go/C++/C#。,具备 OMS、风险管理或金融交易系统的设计运行经验。,有 GenAI 编码经验，系统化思维强，具备领导能力。 请自行确认岗位真实性、薪资和",突出华为：Linux 后端、高可用、自愈系统、日志排查、CI/CD、线上问题定位；突出创业 CTO/GitHub：Python、FastAPI、API 服务、AI workflow、数据处理、系统架构,https://remotejobscn.com/jobs/7446a354-10fb-4064-b6bb-46cc72cdc858
58,OneBullEx,BD/市场拓展 - OneBullEx,全球远程,$1000 - $10000 / month,52,11,33,18,11,删除,疑似招聘中介、JD 过于空泛、技术栈不匹配、不建议投递, #远程 / #实地 #迪拜 📚 待招岗位： #BD #市场 💰 薪酬福利：$1000 - $10000 / month 🌱 岗位职责： 1️⃣ 负责搭建、管理… 请自行确认岗位真实性、薪资和中国候选人接受度,不建议为该岗位大改简历；若投递只保留远程协作、英语、基础数据处理,https://remotejobscn.com/jobs/d2811d48-e015-4675-b138-0ffd77fdfda9
59,BOT Chain,产品经理,全球远程,$4000 - $6500 / month,72,51,58,42,51,低优先级投,疑似招聘中介,层公链，已完成由 NIX 基金会、Alpha Capital 等领投的 1500 万美元首轮融资，并通过 CertiK 安全审计。 🛵 合作方式： # 全职 # 远程 📚 待招岗位： #产品经理 #… 负责公链产品的全链路规划、,不建议为该岗位大改简历；若投递只保留远程协作、英语、基础数据处理,https://remotejobscn.com/jobs/c741e03e-62df-4a9d-b07d-8da454bbadc9
60,DeJob TG,# 招聘 Eather #Headhunter 简介： / Web3 headhunter 合作方式： # 全职 # 远程 待招岗位： #风控专员 #安全 薪酬福利：$1400 - $1500 / month,全球远程,$1400 - $1500 / month,52,34,44,46,42,低优先级投,疑似招聘中介、JD 过于空泛,$1400 - $1500 / month 🌱 岗位职责： 1️⃣ 负责对交易所用户的账户信息、出入金、交易行为和资金流等进行全面审核，确保符合法律法规及交易所… 负责交易所用户账户信息、出入金、交易行为和资金流审核，确保合规；,不建议为该岗位大改简历；若投递只保留远程协作、英语、基础数据处理,https://remotejobscn.com/jobs/94e8866f-cd7a-458f-8972-ccfa9eb047d7
61,Eather,Web3 市场投放专员,全球远程,$5000 - $6500 / month,72,0,35,20,0,不建议投,疑似招聘中介、技术栈不匹配、不建议投递," #全职 #远程 📚 待招岗位： #广告投放 #市场 💰 薪酬福利：$5000 - $6500 / month 🌱 岗位职责： 1️⃣ 广告投放与运营： 负责交易所在Google Ads, Facebook/Instagram,",不建议为该岗位大改简历；若投递只保留远程协作、英语、基础数据处理,https://remotejobscn.com/jobs/6b682e9b-9a53-49b5-bb52-9b46398c59c6
62,Binance,Product Manager - Electron,Hong Kong,未明确,62,33,47,36,45,低优先级投,JD 过于空泛,付效率，追踪数据优化体验。 本科及以上，5+ 年产品经理经验，有交易/金融科技背景优先，精通中英双语，具备强责任心和跨部门推动能力。 请自行确认岗位真实性、薪资和中国候选人接受度,突出创业 CTO/GitHub：Python、FastAPI、API 服务、AI workflow、数据处理、系统架构,https://remotejobscn.com/jobs/c8927559-fd09-441d-b001-6ec0ee6920f2
63,Eather #Headhunter,客服 / 客户支持,全球远程,$1000 - $1500 / month,72,14,42,26,0,删除,疑似招聘中介、技术栈不匹配、不建议投递, 合作方式： #全职 #远程 📚 待招岗位： #客服 #客户支持 💰 薪酬福利：$1000 - $1500 / month 🌱 岗位职责： 1️⃣ 负责英文社群（Telegram / Discord）的日常运营与维护 2️⃣ 及,不建议为该岗位大改简历；若投递只保留远程协作、英语、基础数据处理,https://remotejobscn.com/jobs/7db35eaa-59b1-4179-ab08-80e39b24640c
64,Criptoro,内容创作者,全球远程,"€2,000–€2,500 / 月",72,23,46,48,35,低优先级投,,"ls、TikTok、Shorts）,熟悉社交媒体数据分析及内容规划工具 请自行确认岗位真实性、薪资和中国候选人接受度",突出 Foxconn/创业：日志分析、数据清洗、SQL、报表/看板、异常分析,https://remotejobscn.com/jobs/6631c781-6890-417d-bdd4-65aeac2cdcc9
65,Orca,Head of Product,全球远程,USD 225000-250000 / year,92,0,28,21,19,不建议投,年限要求过高、不建议投递,"准（会议、决策记录等）并确保团队遵守,协同工程、商务、设计和营销团队进行跨职能执行，落实产品运营标准,定义、跟踪并向业务目标关联的产品 KPI，推崇数据驱动文化,综合定性和定量信号，代表客户和市场做出清晰的产品决策 经验与领导力",突出创业 CTO/GitHub：Python、FastAPI、API 服务、AI workflow、数据处理、系统架构,https://remotejobscn.com/jobs/6acb3480-0050-4fa2-93bc-95b0cb58750c
66,Optu Consulting,高级区块链工程师（Node.js/Full Stack）,全球远程,$65/h,72,72,64,70,72,可以投,JD 过于空泛、年限要求过高、值得投递、可作为现金流岗位," Consulting 区块链技术项目组,负责 Node.js 及全栈开发工作,参与公司业务扩展项目 资深开发者水平,精通 Node.js 或 Full Stack 技术栈,拥有相关行业经验 请自行确认岗位真实性、薪资和中国候选",不建议为该岗位大改简历；若投递只保留远程协作、英语、基础数据处理,https://remotejobscn.com/jobs/58e020e0-eed6-4e48-bf07-4c63aecff93b
